select lokace_key, ",", KNODDEL_cisloknih, ",", knoddel_nazev, ",", LOKACE_SHORT, ",", count(kj_key), ",", "30.09.2025" from lokace left join kj on kj_ptr_owner = lokace_key left join knoddel on knoddel_key = lokace_ptr_knoddel group by lokace_key, lokace_short, knoddel_cisloknih, knoddel_nazev order by knoddel_cisloknih
 LOKACE_KEY CONSTANT KNODDEL_CISLOKNIH CONSTANT             KNODDEL_NAZEV CONSTANT LOKACE_SHORT CONSTANT       COUNT CONSTANT   CONSTANT
=========== ======== ================= ======== ========================= ======== ============ ======== =========== ======== ==========
         99 ,                        1 ,        Ústøední knihovna         ,        CAPULT       ,                189 ,        30.09.2025
        106 ,                        1 ,        Ústøední knihovna         ,        virtskvaz    ,                  0 ,        30.09.2025
        107 ,                        1 ,        Ústøední knihovna         ,        REZER        ,                 18 ,        30.09.2025
        109 ,                        1 ,        Ústøední knihovna         ,        výstavky     ,                194 ,        30.09.2025
        110 ,                        1 ,        Ústøední knihovna         ,        NAI3         ,                  5 ,        30.09.2025
        111 ,                        1 ,        Ústøední knihovna         ,        AK           ,                403 ,        30.09.2025
        113 ,                        1 ,        Ústøední knihovna         ,        METO7        ,                  0 ,        30.09.2025
        114 ,                        1 ,        Ústøední knihovna         ,        CEI1         ,                 70 ,        30.09.2025
        129 ,                        1 ,        Ústøední knihovna         ,        INFOINTER    ,                  1 ,        30.09.2025
        134 ,                        1 ,        Ústøední knihovna         ,        DIVPRI       ,              26987 ,        30.09.2025
        135 ,                        1 ,        Ústøední knihovna         ,        HUDPRI       ,              19232 ,        30.09.2025
        154 ,                        1 ,        Ústøední knihovna         ,        pravnici     ,                  0 ,        30.09.2025
        166 ,                        1 ,        Ústøední knihovna         ,        UCEBNA       ,                  1 ,        30.09.2025
        170 ,                        1 ,        Ústøední knihovna         ,        huvza        ,               5931 ,        30.09.2025
        235 ,                        1 ,        Ústøední knihovna         ,        METO487      ,                  0 ,        30.09.2025
        237 ,                        1 ,        Ústøední knihovna         ,        INFOPULT     ,                  4 ,        30.09.2025
        257 ,                        1 ,        Ústøední knihovna         ,        CADKOVA      ,                  0 ,        30.09.2025
        263 ,                        1 ,        Ústøední knihovna         ,        STERBOVA     ,                  0 ,        30.09.2025
        264 ,                        1 ,        Ústøední knihovna         ,        AUTO         ,                  1 ,        30.09.2025
        287 ,                        1 ,        Ústøední knihovna         ,        INFOGAL      ,                  1 ,        30.09.2025
        319 ,                        1 ,        Ústøední knihovna         ,        KABINET      ,                  3 ,        30.09.2025
        339 ,                        1 ,        Ústøední knihovna         ,        MRTVYSKLAD   ,                  0 ,        30.09.2025
        363 ,                        1 ,        Ústøední knihovna         ,        VRACP3P      ,                  1 ,        30.09.2025
        364 ,                        1 ,        Ústøední knihovna         ,        KURARNA      ,                 40 ,        30.09.2025
