KAPACITA_CISLOKNIH;KAPACITA_LOKACE_SHORT;KAPACITA_PTR_TXDESK;KAPACITA_DESKRIPTOR;KAPACITA_OCH;KAPACITA_ROZLIS_VEK;KAPACITA_PLAN;KAPACITA_stav;KAPACITA_DATUM
3;HRA-DE;0;;V;1;20;17;14.04.2025 21:45
27;MOD-BELDO;2017762;MILENCI (piktogram);A1;0;590;709;14.04.2025 21:45
61;MAL-DETI;28081993;komiksy;;1;10;28;14.04.2025 21:46
70;SKA-NAUDO;0;;R;1;5;7;14.04.2025 21:47
51;DIT-LITDE;0;;P;1;75;26;14.04.2025 21:46
3;HRA-DE;0;;V;2;5;2;14.04.2025 21:45
3;HRA-DE;0;;X;1;4;1;14.04.2025 21:45
3;HRA-DE;0;;X;2;1;0;14.04.2025 21:45
3;HRA-DE;0;;Y;1;8;12;14.04.2025 21:45
3;HRA-DE;0;;Y;2;2;6;14.04.2025 21:45
3;HRA-DE;0;;Z;1;20;9;14.04.2025 21:45
3;HRA-DE;0;;Z;2;5;5;14.04.2025 21:45
3;HRA-NAUDO;0;;C;2;55;109;14.04.2025 21:45
3;HRA-NAUDO;0;;D;2;140;161;14.04.2025 21:45
10;VYS-PRSKDE;0;;Y;0;20;21;14.04.2025 21:45
15;HUS-BELDO;2017757;KOVBOJ (piktogram);;2;5;1;14.04.2025 21:45
3;HRA-NAUDO;0;;E;2;200;104;14.04.2025 21:45
3;HRA-NAUDO;0;;G;2;100;147;14.04.2025 21:45
3;HRA-NAUDO;0;;K;2;90;67;14.04.2025 21:45
3;HRA-NAUDO;0;;L;2;85;117;14.04.2025 21:45
3;HRA-NAUDO;0;;N;2;35;47;14.04.2025 21:45
3;HRA-NAUDO;0;;O;2;15;31;14.04.2025 21:45
30;CI3-LITDO;0;;E;2;15;14;14.04.2025 21:45
18;KOR-DETI;0;ost.naucna;;1;15;35;14.04.2025 21:45
3;HRA-NAUDO;0;;P;2;70;45;14.04.2025 21:45
3;HRA-NAUDO;0;;R;2;30;28;14.04.2025 21:45
13;HLO-LITDO;2017759;E.T. (piktogram);A1;0;70;99;14.04.2025 21:45
27;MOD-BELDO;0;;J1;2;15;10;14.04.2025 21:45
3;HRA-NAUDO;0;;S;2;85;108;14.04.2025 21:45
3;HRA-NAUDO;0;;T;2;15;10;14.04.2025 21:45
3;HRA-NAUDO;0;;V;2;15;23;14.04.2025 21:45
3;HRA-NAUDO;0;;W;2;25;38;14.04.2025 21:45
3;HRA-NAUDO;0;;X;2;25;37;14.04.2025 21:45
51;DIT-LITDE;0;;P;2;5;12;14.04.2025 21:46
3;HRA-NAUDO;0;;Y;2;15;19;14.04.2025 21:45
3;HRA-NAUDO;0;;Z;2;40;34;14.04.2025 21:45
4;OST-DETI;2000088;leporela;;0;100;106;14.04.2025 21:45
61;MAL-DETI;0;poezie deti;;1;80;46;14.04.2025 21:46
61;MAL-DETI;0;ost.cizi;;1;40;61;14.04.2025 21:46
4;OST-DETI;0;;J1;1;1;7;14.04.2025 21:45
4;OST-DETI;0;;J2;1;6;1;14.04.2025 21:45
54;PRO-BELDE;0;ost.cizi;;1;230;101;14.04.2025 21:46
4;OST-DETI;0;;J3;1;11;13;14.04.2025 21:45
4;OST-DETI;0;;J4;1;26;39;14.04.2025 21:45
4;OST-DETI;0;;J5;1;6;3;14.04.2025 21:45
4;OST-DETI;0;ost.cizi;;2;2;0;14.04.2025 21:45
4;OST-DETI;0;;C;1;25;26;14.04.2025 21:45
4;OST-DETI;0;;C;2;2;2;14.04.2025 21:45
54;PRO-BELDE;0;ost.cizi;;2;30;27;14.04.2025 21:46
54;PRO-BELDO;0;;A1;0;1970;2556;14.04.2025 21:46
18;KOR-KOMDE;28081993;komiksy;;1;200;133;14.04.2025 21:45
18;KOR-NAUDO;0;;C;0;400;325;14.04.2025 21:45
54;PRO-BELDO;2017762;MILENCI (piktogram);A1;0;470;606;14.04.2025 21:46
4;OST-DETI;0;;D;1;55;39;14.04.2025 21:45
4;OST-DETI;0;;D;2;1;3;14.04.2025 21:45
4;OST-DETI;0;;E;1;10;15;14.04.2025 21:45
4;OST-DETI;0;;E;2;1;1;14.04.2025 21:45
4;OST-DETI;0;;G;1;1;5;14.04.2025 21:45
4;OST-DETI;0;;O;1;1;0;14.04.2025 21:45
13;HLO-LITDO;2017758;LEBKA (piktogram);A1;2;1;119;14.04.2025 21:45
4;OST-DETI;0;;W;1;1;1;14.04.2025 21:45
4;OST-DETI;0;;K;1;40;99;14.04.2025 21:45
4;OST-DETI;0;;K;2;3;5;14.04.2025 21:45
4;OST-DETI;0;;L;1;12;14;14.04.2025 21:45
4;OST-DETI;0;;L;2;1;1;14.04.2025 21:45
4;OST-DETI;0;;N;1;15;14;14.04.2025 21:45
13;HLO-LITDO;0;;J4;0;70;114;14.04.2025 21:45
4;OST-DETI;0;;N;2;5;11;14.04.2025 21:45
4;OST-DETI;0;;P;1;8;13;14.04.2025 21:45
15;HUS-BELDO;2017751;USMEV (piktogram);;1;30;89;14.04.2025 21:45
4;OST-DETI;0;;P;2;1;0;14.04.2025 21:45
4;OST-DETI;0;;R;1;10;16;14.04.2025 21:45
4;OST-DETI;0;;R;2;11;1;14.04.2025 21:45
54;PRO-BELDO;2017756;PISTOLE (piktogram);A1;0;550;681;14.04.2025 21:46
27;MOD-BELDO;0;;J2;2;15;9;14.04.2025 21:45
4;OST-DETI;0;;S;1;20;14;14.04.2025 21:45
4;OST-DETI;0;;S;2;5;4;14.04.2025 21:45
4;OST-DETI;0;;T;1;20;13;14.04.2025 21:45
4;OST-DETI;0;;T;2;1;0;14.04.2025 21:45
4;OST-DETI;0;;U;1;8;6;14.04.2025 21:45
4;OST-DETI;0;;U;2;1;1;14.04.2025 21:45
4;OST-DETI;0;;V;1;10;8;14.04.2025 21:45
27;MOD-BELDO;0;;J3;2;15;18;14.04.2025 21:45
89;JIR-BELDO;2017760;MÁG (piktogram);A1;0;300;334;14.04.2025 21:47
4;OST-DETI;0;;V;2;1;6;14.04.2025 21:45
4;OST-DETI;0;;X;1;5;1;14.04.2025 21:45
4;OST-DETI;0;;X;2;9;0;14.04.2025 21:45
4;OST-DETI;0;;Y;1;10;32;14.04.2025 21:45
4;OST-DETI;0;;Y;2;1;8;14.04.2025 21:45
51;DIT-LITDE;0;;R;1;40;26;14.04.2025 21:46
4;OST-DETI;0;;Z;1;15;24;14.04.2025 21:45
4;OST-DETI;0;;Z;2;13;0;14.04.2025 21:45
4;OST-KOMIKS;28081993;komiksy;;1;85;51;14.04.2025 21:45
4;OST-KOMIKS;28081993;komiksy;;2;80;102;14.04.2025 21:45
4;OST-NAUDO;0;;C;2;115;145;14.04.2025 21:45
4;OST-NAUDO;0;;D;2;250;249;14.04.2025 21:45
15;HUS-BELDO;2017751;USMEV (piktogram);;2;5;1;14.04.2025 21:45
4;OST-NAUDO;0;;E;2;100;136;14.04.2025 21:45
4;OST-NAUDO;0;;G;2;200;238;14.04.2025 21:45
4;OST-NAUDO;0;;K;2;120;100;14.04.2025 21:45
4;OST-NAUDO;0;;L;2;170;199;14.04.2025 21:45
4;OST-NAUDO;0;;N;2;70;68;14.04.2025 21:45
4;OST-NAUDO;0;;O;2;40;34;14.04.2025 21:45
4;OST-NAUDO;0;;P;2;70;101;14.04.2025 21:45
4;OST-NAUDO;0;;R;2;90;43;14.04.2025 21:45
4;OST-NAUDO;0;;S;2;170;120;14.04.2025 21:45
4;OST-NAUDO;0;;T;2;40;34;14.04.2025 21:45
89;JIR-BELDO;0;;B2;0;250;244;14.04.2025 21:47
4;OST-NAUDO;0;;V;2;30;29;14.04.2025 21:45
4;OST-NAUDO;0;;W;2;50;48;14.04.2025 21:45
30;CI3-LITDO;0;;K;2;5;21;14.04.2025 21:45
4;OST-NAUDO;0;;X;2;70;57;14.04.2025 21:45
4;OST-NAUDO;0;;Y;2;35;52;14.04.2025 21:45
4;OST-NAUDO;0;;Z;2;80;86;14.04.2025 21:45
61;MAL-DETI;0;;C;1;50;37;14.04.2025 21:46
5;HOL-BELDO;0;;A1;0;3100;3367;14.04.2025 21:45
5;HOL-BELDO;2017756;PISTOLE (piktogram);A1;0;420;399;14.04.2025 21:45
5;HOL-BELDO;0;;B1;0;35;33;14.04.2025 21:45
51;DIT-LITDE;0;;R;2;10;15;14.04.2025 21:46
5;HOL-BELDO;0;;B2;0;120;103;14.04.2025 21:45
5;HOL-BELDO;2017759;E.T. (piktogram);A1;0;85;126;14.04.2025 21:45
5;HOL-BELDO;2017760;MÁG (piktogram);A1;0;120;120;14.04.2025 21:45
5;HOL-BELDO;0;;J1;0;5;4;14.04.2025 21:45
5;HOL-BELDO;0;;J2;0;10;6;14.04.2025 21:45
5;HOL-BELDO;0;;J3;0;25;23;14.04.2025 21:45
5;HOL-BELDO;0;;J4;0;80;98;14.04.2025 21:45
5;HOL-BELDO;0;;J5;0;15;13;14.04.2025 21:45
5;HOL-BELDO;0;ost.cizi;;0;10;10;14.04.2025 21:45
5;HOL-KOMDO;28081993;komiksy;;0;200;199;14.04.2025 21:45
5;HOL-DETI;0;;A1;1;130;176;14.04.2025 21:45
5;HOL-DETI;0;;A1;2;150;264;14.04.2025 21:45
5;HOL-DETI;0;;A4;0;800;625;14.04.2025 21:45
5;HOL-DETI;0;;A2;0;1100;327;14.04.2025 21:45
5;HOL-DETI;0;;A3;0;1100;984;14.04.2025 21:45
5;HOL-DETI;2017753;PRINCEZNA (piktogram);;0;150;74;14.04.2025 21:45
30;CI3-LITDO;0;;L;2;20;34;14.04.2025 21:45
5;HOL-DETI;2000088;leporela;;0;200;115;14.04.2025 21:45
5;HOL-KOMDE;28081993;komiksy;;0;200;123;14.04.2025 21:45
5;HOL-DETI;0;ost.cizi;;1;230;125;14.04.2025 21:45
13;HLO-LITDO;0;ost.cizi;;0;20;38;14.04.2025 21:45
5;HOL-DETI;0;;C;1;38;38;14.04.2025 21:45
5;HOL-DETI;0;;C;2;2;7;14.04.2025 21:45
89;JIR-BELDO;0;;J3;0;35;33;14.04.2025 21:47
5;HOL-DETI;0;;D;1;79;63;14.04.2025 21:45
13;HLO-LITDO;0;;B1;0;30;21;14.04.2025 21:45
13;HLO-LITDO;0;;B2;0;70;80;14.04.2025 21:45
5;HOL-DETI;0;;D;2;1;10;14.04.2025 21:45
5;HOL-DETI;0;;E;1;45;18;14.04.2025 21:45
5;HOL-DETI;0;;E;2;5;2;14.04.2025 21:45
5;HOL-DETI;0;;K;1;200;131;14.04.2025 21:45
5;HOL-DETI;0;;K;2;10;17;14.04.2025 21:45
5;HOL-DETI;0;;L;1;79;35;14.04.2025 21:45
5;HOL-DETI;0;;L;2;1;1;14.04.2025 21:45
5;HOL-DETI;0;;N;1;45;28;14.04.2025 21:45
5;HOL-DETI;0;;N;2;10;8;14.04.2025 21:45
5;HOL-DETI;0;;P;1;14;16;14.04.2025 21:45
5;HOL-DETI;0;;P;2;1;0;14.04.2025 21:45
27;MOD-BELDO;0;;J4;2;100;107;14.04.2025 21:45
5;HOL-DETI;0;;R;1;40;39;14.04.2025 21:45
5;HOL-DETI;0;;R;2;10;5;14.04.2025 21:45
5;HOL-DETI;0;;S;1;44;25;14.04.2025 21:45
5;HOL-DETI;0;;S;2;1;6;14.04.2025 21:45
5;HOL-DETI;0;;T;1;39;17;14.04.2025 21:45
5;HOL-DETI;0;;T;2;1;0;14.04.2025 21:45
5;HOL-DETI;0;;U;1;19;21;14.04.2025 21:45
5;HOL-DETI;0;;U;2;1;0;14.04.2025 21:45
5;HOL-DETI;0;;V;1;50;122;14.04.2025 21:45
5;HOL-DETI;0;;V;2;5;7;14.04.2025 21:45
54;PRO-BELDO;2017759;E.T. (piktogram);A1;0;165;153;14.04.2025 21:46
18;KOR-NAUDO;0;;D;0;1190;1317;14.04.2025 21:45
89;JIR-BELDO;0;;J4;0;90;138;14.04.2025 21:47
51;DIT-LITDE;0;;S;1;30;19;14.04.2025 21:46
13;HLO-LITDO;0;;C;0;130;113;14.04.2025 21:45
5;HOL-DETI;0;;Y;1;30;38;14.04.2025 21:45
5;HOL-DETI;0;;Y;2;5;2;14.04.2025 21:45
5;HOL-DETI;0;;Z;1;25;23;14.04.2025 21:45
5;HOL-DETI;0;;Z;2;5;2;14.04.2025 21:45
5;HOL-DETI;0;ost.naucna;;1;14;4;14.04.2025 21:45
5;HOL-DETI;0;ost.naucna;;2;1;3;14.04.2025 21:45
5;HOL-NAUDO;0;;C;2;250;171;14.04.2025 21:45
5;HOL-NAUDO;0;;D;2;600;416;14.04.2025 21:45
5;HOL-NAUDO;0;;E;2;420;282;14.04.2025 21:45
5;HOL-NAUDO;0;;G;2;500;518;14.04.2025 21:45
5;HOL-NAUDO;0;;K;2;200;147;14.04.2025 21:45
5;HOL-NAUDO;0;;L;2;380;376;14.04.2025 21:45
5;HOL-NAUDO;0;;N;2;230;163;14.04.2025 21:45
5;HOL-NAUDO;0;;O;2;75;31;14.04.2025 21:45
5;HOL-NAUDO;0;;P;2;220;221;14.04.2025 21:45
5;HOL-NAUDO;0;;R;2;110;87;14.04.2025 21:45
5;HOL-NAUDO;0;;S;2;525;215;14.04.2025 21:45
5;HOL-NAUDO;0;;T;2;80;43;14.04.2025 21:45
5;HOL-NAUDO;0;;U;2;5;1;14.04.2025 21:45
5;HOL-NAUDO;0;;V;2;95;35;14.04.2025 21:45
5;HOL-NAUDO;0;;W;2;160;75;14.04.2025 21:45
5;HOL-NAUDO;0;;X;2;130;101;14.04.2025 21:45
5;HOL-NAUDO;0;;Y;2;145;98;14.04.2025 21:45
5;HOL-NAUDO;0;;Z;2;250;87;14.04.2025 21:45
7;KOB-DO;0;;A1;0;1100;1558;14.04.2025 21:45
60;KRC-LITDO;0;;Y;1;5;0;14.04.2025 21:46
60;KRC-LITDO;0;;Z;2;135;0;14.04.2025 21:46
13;HLO-LITDO;0;;D;0;130;176;14.04.2025 21:45
13;HLO-LITDO;0;;E;0;60;104;14.04.2025 21:45
51;DIT-LITDE;0;;S;2;10;9;14.04.2025 21:46
60;KRC-LITDO;0;;Z;1;5;0;14.04.2025 21:46
61;MAL-DETI;0;;D;1;20;16;14.04.2025 21:46
61;MAL-DETI;0;;E;1;20;33;14.04.2025 21:46
7;KOB-DO;2017762;MILENCI (piktogram);A1;0;320;416;14.04.2025 21:45
7;KOB-DO;2017761;DÍVKA (piktogram);A1;0;55;53;14.04.2025 21:45
7;KOB-DO;2017756;PISTOLE (piktogram);A1;0;250;278;14.04.2025 21:45
7;KOB-DO;2017758;LEBKA (piktogram);A1;0;210;341;14.04.2025 21:45
7;KOB-DO;0;;B1;0;25;14;14.04.2025 21:45
7;KOB-DO;0;;B2;0;45;78;14.04.2025 21:45
7;KOB-DO;2017759;E.T. (piktogram);A1;0;125;144;14.04.2025 21:45
7;KOB-DO;2017760;MÁG (piktogram);A1;0;140;166;14.04.2025 21:45
7;KOB-DO;0;;J1;0;10;8;14.04.2025 21:45
7;KOB-DO;0;;J2;0;10;10;14.04.2025 21:45
7;KOB-DO;0;;J3;0;25;15;14.04.2025 21:45
7;KOB-DO;0;;J4;0;95;112;14.04.2025 21:45
27;MOD-BELDO;0;;J4;1;30;6;14.04.2025 21:45
7;KOB-DO;0;;J5;0;15;13;14.04.2025 21:45
7;KOB-DO;0;ost.cizi;;0;10;4;14.04.2025 21:45
7;KOB-DO;28081993;komiksy;;0;80;104;14.04.2025 21:45
7;KOB-DO;0;;C;2;140;152;14.04.2025 21:45
7;KOB-DO;0;;D;2;270;330;14.04.2025 21:45
7;KOB-DO;0;;E;2;260;281;14.04.2025 21:45
7;KOB-DO;0;;G;2;210;291;14.04.2025 21:45
7;KOB-DO;0;;K;2;125;155;14.04.2025 21:45
7;KOB-DO;0;;L;2;240;351;14.04.2025 21:45
7;KOB-DO;0;;N;2;100;140;14.04.2025 21:45
47;ZME-BELDO;0;;A1;0;900;1747;14.04.2025 21:46
7;KOB-DO;0;;O;2;35;41;14.04.2025 21:45
61;MAL-DETI;0;;K;1;40;76;14.04.2025 21:46
61;MAL-DETI;0;;L;1;20;12;14.04.2025 21:46
61;MAL-DETI;0;;N;1;20;11;14.04.2025 21:46
7;KOB-DO;0;;P;2;100;161;14.04.2025 21:45
7;KOB-DO;0;;R;2;60;55;14.04.2025 21:45
89;JIR-BELDO;0;ost.cizi;;0;35;61;14.04.2025 21:47
7;KOB-DO;0;;S;2;160;165;14.04.2025 21:45
7;KOB-DO;0;;T;2;65;94;14.04.2025 21:45
7;KOB-DO;0;;V;2;50;58;14.04.2025 21:45
7;KOB-DO;0;;W;2;65;84;14.04.2025 21:45
7;KOB-DO;0;;X;2;80;96;14.04.2025 21:45
7;KOB-DO;0;;Y;2;65;85;14.04.2025 21:45
7;KOB-DO;0;;Z;2;100;107;14.04.2025 21:45
7;KOB-LITDE;0;;A1;1;20;22;14.04.2025 21:45
30;CI3-LITDO;0;;N;2;10;14;14.04.2025 21:45
7;KOB-LITDE;0;;A1;2;5;4;14.04.2025 21:45
27;MOD-BELDO;0;;J5;2;20;29;14.04.2025 21:45
7;KOB-LITDE;0;;A4;0;450;441;14.04.2025 21:45
7;KOB-LITDE;0;;A2;0;300;270;14.04.2025 21:45
7;KOB-LITDE;0;;A3;0;740;837;14.04.2025 21:45
7;KOB-LITDE;2017753;PRINCEZNA (piktogram);;0;40;57;14.04.2025 21:45
7;KOB-LITDE;2017761;DÍVKA (piktogram);;1;30;67;14.04.2025 21:45
7;KOB-LITDE;2017761;DÍVKA (piktogram);;2;5;0;14.04.2025 21:45
7;KOB-LITDE;2000088;leporela;;0;200;212;14.04.2025 21:45
13;HLO-LITDO;0;;G;0;100;164;14.04.2025 21:45
13;HLO-LITDO;0;;K;0;55;85;14.04.2025 21:45
7;KOB-LITDE;28081993;komiksy;;1;100;126;14.04.2025 21:45
7;KOB-LITDE;28081993;komiksy;;2;5;2;14.04.2025 21:45
7;KOB-LITDE;2017759;E.T. (piktogram);;1;10;18;14.04.2025 21:45
7;KOB-LITDE;2017760;MÁG (piktogram);;1;40;113;14.04.2025 21:45
7;KOB-LITDE;2017760;MÁG (piktogram);;2;5;0;14.04.2025 21:45
7;KOB-LITDE;0;poezie deti;;1;190;210;14.04.2025 21:45
7;KOB-LITDE;0;;B2;2;1;2;14.04.2025 21:45
7;KOB-LITDE;0;ost.cizi;;1;110;126;14.04.2025 21:45
7;KOB-LITDE;0;ost.cizi;;2;5;10;14.04.2025 21:45
7;KOB-LITDE;0;;C;1;50;53;14.04.2025 21:45
89;JIR-KOM;28081993;komiksy;;2;160;190;14.04.2025 21:47
7;KOB-LITDE;0;;C;2;10;17;14.04.2025 21:45
7;KOB-LITDE;0;;D;1;90;107;14.04.2025 21:45
7;KOB-LITDE;0;;D;2;10;13;14.04.2025 21:45
7;KOB-LITDE;0;;E;1;45;24;14.04.2025 21:45
7;KOB-LITDE;0;;E;2;1;2;14.04.2025 21:45
7;KOB-LITDE;0;;K;1;245;247;14.04.2025 21:45
30;CI3-LITDO;0;;P;2;10;23;14.04.2025 21:45
7;KOB-LITDE;0;;K;2;20;17;14.04.2025 21:45
7;KOB-LITDE;0;;L;1;40;26;14.04.2025 21:45
7;KOB-LITDE;0;;L;2;2;2;14.04.2025 21:45
7;KOB-LITDE;0;;N;1;50;44;14.04.2025 21:45
7;KOB-LITDE;0;;N;2;15;19;14.04.2025 21:45
7;KOB-LITDE;0;;P;1;40;35;14.04.2025 21:45
7;KOB-LITDE;0;;P;2;2;0;14.04.2025 21:45
7;KOB-LITDE;0;;R;1;45;38;14.04.2025 21:45
7;KOB-LITDE;0;;R;2;2;1;14.04.2025 21:45
13;HLO-LITDO;0;;L;0;140;229;14.04.2025 21:45
7;KOB-LITDE;0;;S;1;35;18;14.04.2025 21:45
7;KOB-LITDE;0;;S;2;5;3;14.04.2025 21:45
7;KOB-LITDE;0;;T;1;45;36;14.04.2025 21:45
7;KOB-LITDE;0;;T;2;5;3;14.04.2025 21:45
47;ZME-BELDO;2017756;PISTOLE (piktogram);A1;0;370;497;14.04.2025 21:46
47;ZME-BELDO;2017758;LEBKA (piktogram);A1;0;180;279;14.04.2025 21:46
7;KOB-LITDE;0;;U;1;30;24;14.04.2025 21:45
7;KOB-LITDE;0;;U;2;2;1;14.04.2025 21:45
7;KOB-LITDE;0;;V;1;40;41;14.04.2025 21:45
89;JIR-LEPOR;2000088;leporela;;0;190;223;14.04.2025 21:47
7;KOB-LITDE;0;;V;2;5;12;14.04.2025 21:45
7;KOB-LITDE;0;;Y;1;50;47;14.04.2025 21:45
7;KOB-LITDE;0;;Y;2;10;23;14.04.2025 21:45
7;KOB-LITDE;0;;Z;1;30;23;14.04.2025 21:45
7;KOB-LITDE;0;;Z;2;5;5;14.04.2025 21:45
89;JIR-LITDE;0;poezie deti;;1;150;240;14.04.2025 21:47
7;KOB-LITDE;0;ost.naucna;;1;25;25;14.04.2025 21:45
7;KOB-PRSK;0;;A1;0;300;289;14.04.2025 21:45
7;KOB-PRSK;0;;A2;0;10;7;14.04.2025 21:45
7;KOB-PRSK;0;;A3;0;10;11;14.04.2025 21:45
7;KOB-PRSK;0;;A4;0;10;1;14.04.2025 21:45
7;KOB-PRSK;0;;B1;0;5;3;14.04.2025 21:45
7;KOB-PRSK;0;;B2;0;30;61;14.04.2025 21:45
7;KOB-PRSK;0;ost.cizi;;0;10;7;14.04.2025 21:45
7;KOB-PRSK;0;;C;2;70;50;14.04.2025 21:45
7;KOB-PRSK;0;;D;2;40;39;14.04.2025 21:45
7;KOB-PRSK;0;;G;2;40;23;14.04.2025 21:45
7;KOB-PRSK;0;;K;2;30;18;14.04.2025 21:45
7;KOB-PRSK;0;;L;2;40;23;14.04.2025 21:45
7;KOB-PRSK;0;;N;2;25;9;14.04.2025 21:45
7;KOB-PRSK;0;;O;2;10;6;14.04.2025 21:45
7;KOB-PRSK;0;;P;2;40;13;14.04.2025 21:45
7;KOB-PRSK;0;;R;2;50;2;14.04.2025 21:45
47;ZME-BELDO;2017762;MILENCI (piktogram);A1;0;290;544;14.04.2025 21:46
47;ZME-BELDO;0;;B1;0;10;18;14.04.2025 21:46
7;KOB-PRSK;0;;S;2;40;12;14.04.2025 21:45
7;KOB-PRSK;0;;T;2;15;11;14.04.2025 21:45
7;KOB-PRSK;0;;U;2;20;1;14.04.2025 21:45
7;KOB-PRSK;0;;W;2;15;4;14.04.2025 21:45
7;KOB-PRSK;0;;X;2;30;8;14.04.2025 21:45
7;KOB-PRSK;0;;Y;2;10;7;14.04.2025 21:45
7;KOB-PRSK;0;;Z;2;15;4;14.04.2025 21:45
7;KOB-PRSK;0;;E;2;20;17;14.04.2025 21:45
7;KOB-PRSK;0;;V;2;15;1;14.04.2025 21:45
8;SKO-LITDE;0;;J4;1;20;44;14.04.2025 21:45
8;SKO-LITDE;0;ost.cizi;;2;20;1;14.04.2025 21:45
8;SKO-LITDE;0;;C;1;75;49;14.04.2025 21:45
8;SKO-LITDE;0;;C;2;10;2;14.04.2025 21:45
8;SKO-LITDE;0;;D;1;55;115;14.04.2025 21:45
8;SKO-LITDE;0;;D;2;10;2;14.04.2025 21:45
8;SKO-LITDE;0;;E;1;20;39;14.04.2025 21:45
8;SKO-LITDE;0;;E;2;5;4;14.04.2025 21:45
8;SKO-LITDE;0;;G,O,W;1;10;0;14.04.2025 21:45
13;HLO-LITDO;0;;N;0;65;109;14.04.2025 21:45
13;HLO-LITDO;0;;O;0;15;26;14.04.2025 21:45
8;SKO-LITDE;0;;K;1;160;224;14.04.2025 21:45
8;SKO-LITDE;0;;K;2;10;20;14.04.2025 21:45
8;SKO-LITDE;0;;L;1;40;41;14.04.2025 21:45
8;SKO-LITDE;0;;L;2;5;6;14.04.2025 21:45
8;SKO-LITDE;0;;N;1;45;60;14.04.2025 21:45
8;SKO-LITDE;0;;N;2;15;28;14.04.2025 21:45
8;SKO-LITDE;0;;P;1;20;24;14.04.2025 21:45
47;ZME-BELDO;0;;B2;0;120;106;14.04.2025 21:46
47;ZME-BELDO;0;;J4;0;90;99;14.04.2025 21:46
18;KOR-NAUDO;0;;E;0;580;478;14.04.2025 21:45
8;SKO-LITDE;0;;P;2;5;0;14.04.2025 21:45
8;SKO-LITDE;0;;R;1;40;30;14.04.2025 21:45
8;SKO-LITDE;0;;R;2;10;1;14.04.2025 21:45
8;SKO-LITDE;0;;S;1;40;21;14.04.2025 21:45
8;SKO-LITDE;0;;S;2;5;4;14.04.2025 21:45
8;SKO-LITDE;0;;T;1;40;20;14.04.2025 21:45
8;SKO-LITDE;0;;T;2;5;1;14.04.2025 21:45
8;SKO-LITDE;0;;U;1;15;12;14.04.2025 21:45
27;MOD-BELDO;0;ost.cizi;;2;10;4;14.04.2025 21:45
27;MOD-BELDO;0;ost.cizi;;1;10;0;14.04.2025 21:45
8;SKO-LITDE;0;;V;1;40;26;14.04.2025 21:45
8;SKO-LITDE;0;;V;2;10;3;14.04.2025 21:45
8;SKO-LITDE;0;;X;1;25;13;14.04.2025 21:45
8;SKO-LITDE;0;;X;2;5;0;14.04.2025 21:45
8;SKO-LITDE;0;;Y;1;35;52;14.04.2025 21:45
13;HLO-LITDO;0;;P;0;125;149;14.04.2025 21:45
8;SKO-LITDE;0;;Y;2;5;7;14.04.2025 21:45
8;SKO-LITDE;0;;Z;1;40;17;14.04.2025 21:45
8;SKO-LITDE;0;;Z;2;5;0;14.04.2025 21:45
8;SKO-NAUDO;0;;C;2;225;308;14.04.2025 21:45
8;SKO-NAUDO;0;;D;2;910;837;14.04.2025 21:45
8;SKO-NAUDO;0;;E;2;660;391;14.04.2025 21:45
8;SKO-NAUDO;0;;G;2;590;702;14.04.2025 21:45
8;SKO-NAUDO;0;;K;2;530;302;14.04.2025 21:45
8;SKO-NAUDO;0;;L;2;660;734;14.04.2025 21:45
8;SKO-NAUDO;0;;N;2;215;175;14.04.2025 21:45
8;SKO-NAUDO;0;;O;2;120;91;14.04.2025 21:45
47;ZME-BELDO;0;ost.cizi;;0;20;25;14.04.2025 21:46
8;SKO-NAUDO;0;;P;2;330;315;14.04.2025 21:45
8;SKO-NAUDO;0;;R;2;250;162;14.04.2025 21:45
8;SKO-NAUDO;0;;S;2;550;292;14.04.2025 21:45
27;MOD-KOM;28081993;komiksy;;0;100;198;14.04.2025 21:45
8;SKO-NAUDO;0;;T;2;215;142;14.04.2025 21:45
8;SKO-NAUDO;0;;V;2;165;111;14.04.2025 21:45
8;SKO-NAUDO;0;;W;2;250;166;14.04.2025 21:45
8;SKO-NAUDO;0;;X;2;320;263;14.04.2025 21:45
8;SKO-NAUDO;0;;Y;2;200;205;14.04.2025 21:45
8;SKO-NAUDO;0;;Z;2;240;169;14.04.2025 21:45
18;KOR-NAUDO;0;;G;0;830;929;14.04.2025 21:45
42;PET-BELDO2;0;;A1;0;2530;3629;14.04.2025 21:46
18;KOR-NAUDO;0;;K;0;450;436;14.04.2025 21:45
18;KOR-NAUDO;0;;L;0;820;1080;14.04.2025 21:45
27;MOD-NAU;0;;C;2;240;331;14.04.2025 21:45
18;KOR-NAUDO;0;;N;0;280;362;14.04.2025 21:45
13;HLO-LITDO;0;;R;0;30;43;14.04.2025 21:45
13;HLO-LITDO;0;;S;0;40;67;14.04.2025 21:45
18;KOR-NAUDO;0;;O;0;120;183;14.04.2025 21:45
18;KOR-NAUDO;0;;P;0;500;450;14.04.2025 21:45
18;KOR-NAUDO;0;;R;0;300;376;14.04.2025 21:45
18;KOR-NAUDO;0;;S;0;400;435;14.04.2025 21:45
18;KOR-NAUDO;0;;T;0;210;169;14.04.2025 21:45
18;KOR-NAUDO;0;;U;0;20;57;14.04.2025 21:45
18;KOR-NAUDO;0;;V;0;110;110;14.04.2025 21:45
18;KOR-NAUDO;0;;W;0;340;320;14.04.2025 21:45
