pobocka_cislo,lokace_short_norm,OCH,kapacita_fyzicka,stav_na_regalu,lokace_id
7,KOB-DOPOR,AK,15.0,0.0,801
7,KOB-DOPOR,Deskové hry,10.0,0.0,801
7,KOB-DOPOR,Doporučujeme (dospělí),28.0,0.0,801
7,KOB-DOPOR,JK,15.0,0.0,801
7,KOB-DOPORD,Deskové hry,15.0,0.0,802
7,KOB-HRAB,None,215.0,0.0,562
7,KOB-LITDE,Beletrie - děti,2844.0,2.0,600
7,KOB-LITDE,Naučná - děti,1297.0,0.0,600
7,KOB-PRSK,Sklad,1039.0,0.0,604
7,KOB-VYLOHY,Doporučujeme (dospělí),15.0,0.0,605
7,KOB-VYLOHY,Doporučujeme dětem,15.0,0.0,605
7,NONE,Rezervace,0.0,12.0,
7,VÝSTAVKA DOSPĚLÍ,Doporučujeme (dospělí),60.0,15.0,
7,VÝSTAVKA DĚTI,Doporučujeme dětem,421.0,0.0,
8,NONE,Dnes vrácené knihy,722.0,0.0,
8,NONE,Rezervace,361.0,0.0,
8,SKO-AUDIO,AK,70.0,0.0,816
8,SKO-AUDIO,CD,179.0,0.0,816
8,SKO-AUDIO,JK,141.0,0.0,816
8,SKO-BELDO,Beletrie - dospělí,3544.0,6.0,116
8,SKO-CASDE,Časopisy pro děti,21.0,0.0,894
8,SKO-CASDO,Časopisy pro dospělé,131.0,0.0,
8,SKO-DIVML,Beletrie - dospělí,66.0,0.0,121
8,SKO-DOPO1,Beletrie - dospělí,632.0,5.0,812
8,SKO-DOPO1,CD,20.0,0.0,812
8,SKO-DOPO1,Naučná - dospělí,58.0,0.0,812
8,SKO-DOPO3,Beletrie - děti,188.0,0.0,814
8,SKO-DOPO3,Deskové hry,25.0,0.0,814
8,SKO-DOPO3,Naučná - děti,83.0,0.0,814
8,SKO-KOMDO,Beletrie - dospělí,200.0,0.0,958
8,SKO-KOMIKS,Beletrie - děti,180.0,0.0,895
8,SKO-LITDE,Beletrie - dospělí,43.0,0.0,118
