lokace_id,kapacita_deskriptor,kapacita_och
653,PISTOLE (piktogram),A1
653,E.T. (piktogram),A1
653,MÁG (piktogram),A1
976,MILENCI (piktogram),A1
976,MÁG (piktogram),A1
614,PISTOLE (piktogram),A1
614,E.T. (piktogram),A1
614,MÁG (piktogram),A1
473,MILENCI (piktogram),A1
473,PISTOLE (piktogram),A1
473,MÁG (piktogram),A1
473,E.T. (piktogram),A1
1095,E.T. (piktogram),A1
461,PISTOLE (piktogram),A1
461,E.T. (piktogram),A1
461,MÁG (piktogram),A1
1095,MÁG (piktogram),A1
1114,DÍVKA (piktogram),A1
1114,MÁG (piktogram),A1
1114,E.T. (piktogram),A1
1100,PISTOLE (piktogram),A1
1100,LEBKA (piktogram),A1
1100,MILENCI (piktogram),A1
148,PRINCEZNA (piktogram),
148,PEGAS (piktogram),
148,leporela,
1147,leporela,
496,DÍVKA (piktogram),
822,PRINCEZNA (piktogram),
822,DÍVKA (piktogram),
822,leporela,
822,MÁG (piktogram),
822,E.T. (piktogram),
367,E.T. (piktogram),
367,MÁG (piktogram),
240,leporela,
240,PRINCEZNA (piktogram),
240,DÍVKA (piktogram),
240,MÁG (piktogram),
240,E.T. (piktogram),
1133,leporela,
1135,první čtení,
513,PRINCEZNA (piktogram),
513,DÍVKA (piktogram),
513,leporela,
223,MÁG (piktogram),
380,PRINCEZNA (piktogram),
638,leporela,
500,PRINCEZNA (piktogram),
500,DÍVKA (piktogram),
500,E.T. (piktogram),
500,MÁG (piktogram),
380,DÍVKA (piktogram),
1250,leporela,
513,MÁG (piktogram),
513,E.T. (piktogram),
370,DÍVKA (piktogram),
380,leporela,
513,PISTOLE (piktogram),
380,MÁG (piktogram),
370,MÁG (piktogram),
380,E.T. (piktogram),
218,MILENCI (piktogram),
218,PISTOLE (piktogram),
218,LEBKA (piktogram),
218,E.T. (piktogram),
218,MÁG (piktogram),
218,DÍVKA (piktogram),
219,PRINCEZNA (piktogram),
219,DÍVKA (piktogram),
219,leporela,
223,MILENCI (piktogram),
223,PISTOLE (piktogram),
223,LEBKA (piktogram),
752,KMET (piktogram),
754,PRINCEZNA (piktogram),
754,DÍVKA (piktogram),
754,leporela,
754,MÁG (piktogram),
754,E.T. (piktogram),
327,PRINCEZNA (piktogram),
327,DÍVKA (piktogram),
327,leporela,
327,MÁG (piktogram),
525,DÍVKA (piktogram),
525,MÁG (piktogram),
525,E.T. (piktogram),
525,PRINCEZNA (piktogram),
525,leporela,
664,PRINCEZNA (piktogram),
118,PRINCEZNA (piktogram),
118,DÍVKA (piktogram),
118,leporela,
118,MÁG (piktogram),
664,leporela,
446,DÍVKA (piktogram),
446,leporela,
446,MÁG (piktogram),
446,E.T. (piktogram),
664,DÍVKA (piktogram),
118,E.T. (piktogram),
1069,leporela,
360,PRINCEZNA (piktogram),
370,E.T. (piktogram),
360,DÍVKA (piktogram),
664,MÁG (piktogram),
912,E.T. (piktogram),
912,MÁG (piktogram),
664,E.T. (piktogram),
327,E.T. (piktogram),
543,PRINCEZNA (piktogram),
543,leporela,
543,MÁG (piktogram),
543,E.T. (piktogram),
310,PRINCEZNA (piktogram),
310,DÍVKA (piktogram),
310,MÁG (piktogram),
310,E.T. (piktogram),
315,leporela,
307,KOVBOJ (piktogram),
670,PRINCEZNA (piktogram),
1040,PRINCEZNA (piktogram),
670,PEGAS (piktogram),
670,DÍVKA (piktogram),
670,leporela,
1040,leporela,
370,leporela,
307,USMEV (piktogram),
415,PRINCEZNA (piktogram),
415,leporela,
600,PRINCEZNA (piktogram),
600,DÍVKA (piktogram),
600,leporela,
600,E.T. (piktogram),
600,MÁG (piktogram),
1065,leporela,
496,PRINCEZNA (piktogram),
496,leporela,
1091,leporela,
565,PRINCEZNA (piktogram),
565,DÍVKA (piktogram),
565,MÁG (piktogram),
565,leporela,
437,PRINCEZNA (piktogram),
437,DÍVKA (piktogram),
437,MÁG (piktogram),
437,E.T. (piktogram),
715,PRINCEZNA (piktogram),
392,PRINCEZNA (piktogram),
392,DÍVKA (piktogram),
392,PEGAS (piktogram),
392,ÚSMĚV (piktogram),
396,MÁG (piktogram),
396,E.T. (piktogram),
846,leporela,
715,DÍVKA (piktogram),
1127,DÍVKA (piktogram),
592,PRINCEZNA (piktogram),
592,DÍVKA (piktogram),
592,leporela,
593,E.T. (piktogram),
593,MÁG (piktogram),
715,leporela,
715,MÁG (piktogram),
715,E.T. (piktogram),
1036,DÍVKA (piktogram),
586,DÍVKA (piktogram),
1025,leporela,
1036,MÁG (piktogram),
1036,E.T. (piktogram),
654,PRINCEZNA (piktogram),
654,DÍVKA (piktogram),
654,E.T. (piktogram),
654,MÁG (piktogram),
592,E.T. (piktogram),
592,MÁG (piktogram),
270,PRINCEZNA (piktogram),
270,DÍVKA (piktogram),
270,MÁG (piktogram),
270,E.T. (piktogram),
270,první čtení,
850,leporela,
539,PRINCEZNA (piktogram),
539,leporela,
539,MÁG (piktogram),
539,E.T. (piktogram),
167,PRINCEZNA (piktogram),
167,DÍVKA (piktogram),
1086,leporela,
1042,DÍVKA (piktogram),
617,PRINCEZNA (piktogram),
617,DÍVKA (piktogram),
617,E.T. (piktogram),
617,MÁG (piktogram),
249,DÍVKA (piktogram),
249,MÁG (piktogram),
249,E.T. (piktogram),
249,PRINCEZNA (piktogram),
465,E.T. (piktogram),
465,MÁG (piktogram),
474,DÍVKA (piktogram),
465,DÍVKA (piktogram),
465,PRINCEZNA (piktogram),
307,PISTOLE (piktogram),
474,leporela,
1127,leporela,
1020,leporela,
565,PISTOLE (piktogram),
586,leporela,
1110,leporela,
1116,KMET (piktogram),
1146,leporela,
1240,DÍVKA (piktogram),
1211,MILENCI(piktogram),
1211,PISTOLE(piktogram),
1211,LEBKA(piktogram),
1211,E.T.(piktogram),
1211,MÁG(piktogram),
1260,leporela,
145,komiksy,
148,komiksy,
270,komiksy,
1138,komiksy,
1078,komiksy,
1141,komiksy,
971,komiksy,
1134,komiksy,
1139,komiksy,
964,komiksy,
830,komiksy,
1093,komiksy,
1136,komiksy,
1150,komiksy,
638,komiksy,
1023,komiksy,
843,komiksy,
513,komiksy,
960,komiksy,
219,komiksy,
752,komiksy,
754,komiksy,
525,komiksy,
958,komiksy,
895,komiksy,
446,komiksy,
1083,komiksy,
1070,komiksy,
899,komiksy,
543,komiksy,
664,komiksy,
1002,komiksy,
845,komiksy,
1037,komiksy,
670,komiksy,
1040,komiksy,
994,komiksy,
893,komiksy,
1082,komiksy,
1081,komiksy,
603,komiksy,
600,komiksy,
1006,komiksy,
858,komiksy,
1085,komiksy,
1084,komiksy,
957,komiksy,
847,komiksy,
1066,komiksy,
1151,komiksy,
987,komiksy,
981,komiksy,
982,komiksy,
1119,komiksy,
396,komiksy,
395,komiksy,
1054,komiksy,
592,komiksy,
715,komiksy,
1024,komiksy,
955,komiksy,
882,komiksy,
986,komiksy,
1075,komiksy,
1074,komiksy,
249,komiksy,
1092,komiksy,
1060,komiksy,
1072,komiksy,
1071,komiksy,
1059,komiksy,
1068,komiksy,
1120,komiksy,
1108,komiksy,
1109,komiksy,
1256,komiksy,
1257,komiksy,
1259,komiksy,
1258,komiksy,
145,ost.cizi,
148,ost.cizi,
822,ost.cizi,
367,ost.cizi,
823,ost.cizi,
516,ost.cizi,
238,ost.cizi,
240,ost.cizi,
207,ost.cizi,
1035,ost.cizi,
609,ost.cizi,
638,ost.cizi,
500,ost.cizi,
499,ost.cizi,
513,ost.cizi,
380,ost.cizi,
1253,ost.cizi,
219,ost.cizi,
671,ost.cizi,
752,ost.cizi,
754,ost.cizi,
525,ost.cizi,
116,ost.cizi,
212,ost.cizi,
22,ost.cizi,
446,ost.cizi,
443,ost.cizi,
23,ost.cizi,
355,ost.cizi,
544,ost.cizi,
543,ost.cizi,
310,ost.cizi,
1037,ost.cizi,
912,ost.cizi,
312,ost.cizi,
1040,ost.cizi,
327,ost.cizi,
412,ost.cizi,
415,ost.cizi,
1121,ost.cizi,
603,ost.cizi,
247,ost.cizi,
600,ost.cizi,
604,ost.cizi,
118,ost.cizi,
663,ost.cizi,
699,ost.cizi,
493,ost.cizi,
496,ost.cizi,
567,ost.cizi,
565,ost.cizi,
537,ost.cizi,
1091,ost.cizi,
713,ost.cizi,
324,ost.cizi,
437,ost.cizi,
389,ost.cizi,
1127,ost.cizi,
593,ost.cizi,
715,ost.cizi,
441,ost.cizi,
654,ost.cizi,
653,ost.cizi,
976,ost.cizi,
273,ost.cizi,
270,ost.cizi,
539,ost.cizi,
875,ost.cizi,
167,ost.cizi,
617,ost.cizi,
614,ost.cizi,
465,ost.cizi,
461,ost.cizi,
1099,ost.cizi,
148,poezie deti,
148,ost.naucna,
822,poezie deti,
240,poezie deti,
240,ost.naucna,
500,ost.naucna,
370,poezie deti,
844,poezie deti,
638,poezie deti,
513,poezie deti,
380,poezie deti,
219,poezie deti,
212,poezie deti,
219,ost.naucna,
754,poezie deti,
754,ost.naucna,
22,ost.naucna,
525,poezie deti,
525,ost.naucna,
513,ost.naucna,
664,poezie deti,
22,poezie deti,
446,poezie deti,
445,ost.naucna,
638,ost.naucna,
118,poezie deti,
360,poezie deti,
360,ost.naucna,
543,poezie deti,
310,poezie deti,
327,poezie deti,
670,poezie deti,
380,ost.naucna,
1040,poezie deti,
415,ost.naucna,
600,poezie deti,
249,poezie deti,
600,ost.naucna,
496,poezie deti,
496,ost.naucna,
1091,poezie deti,
565,poezie deti,
912,ost.naucna,
437,poezie deti,
565,ost.naucna,
392,poezie deti,
393,ost.naucna,
592,poezie deti,
701,ost.naucna,
715,poezie deti,
715,ost.naucna,
437,ost.naucna,
654,poezie deti,
328,ost.naucna,
270,poezie deti,
270,ost.naucna,
539,poezie deti,
586,poezie deti,
167,poezie deti,
1042,ost.naucna,
586,ost.naucna,
168,ost.naucna,
617,poezie deti,
618,ost.naucna,
249,ost.naucna,
465,poezie deti,
464,ost.naucna,
474,poezie deti,
474,ost.naucna,
1127,ost.naucna,
1099,poezie deti,
1127,poezie deti,
1242,komiksy,
1231,komiksy,
1212,komiksy,
1253,ost.cizi naucna,
22,dvojjazycne,
692,dvojjazycne,
543,ost.naucna,
670,ost.cizi,
370,ost.cizi,
1040,ost.naucna,
1036,komiksy,
1056,ost.naucna,
586,ost.cizi,
1236,ost.cizi,
1240,E.T.(piktogram),
1240,MÁG (piktogram),
1240,PISTOLE (piktogram),
1240,"HUMOR,ÚSMĚV (piktogram)",
1240,ost.cizi,
1232,leporela,
1233,poezie děti,
1216,leporela,
1212,MÁG (piktogram),
1212,E.T.(piktogram),
1212,ost.nauc,
1249,ost.naucna,
976,komiksy,
