lokace_id,lokace_short,lokace_short_norm,knoddel_cisloknih,knoddel_nazev,stav_fondu_celkem_zdroj,datum,pobocka_cislo,je_realokace
1188,RUS-SELF,RUS-SELF,56.0,Dům čtení,0,2025-09-30,56,False
939,HLO-CAS,HLO-CAS,13.0,Hloubětín,0,2025-09-30,13,False
1167,HOS-SELF,HOS-SELF,21.0,Hostivař,0,2025-09-30,21,False
578,HRA-POK,HRA-POK,3.0,Hradčany,0,2025-09-30,3,False
1157,HRA-SELF,HRA-SELF,3.0,Hradčany,0,2025-09-30,3,False
722,INET,INET,1.0,Internetový přístup,0,2025-09-30,1,False
860,JEN-KANC,JEN-KANC,92.0,Jeneč,0,2025-09-30,92,False
861,JEN-PROST,JEN-PROST,92.0,Jeneč,0,2025-09-30,92,False
1273,WCH-SELF,WCH-SELF,83.0,Kiosek Chodov,0,2025-09-30,83,False
1198,CCM-SELF,CCM-SELF,86.0,Kiosek CČM,0,2025-09-30,86,False
1270,DBK-SELF,DBK-SELF,82.0,Kiosek DBK,0,2025-09-30,82,False
1160,KOB-SELF,KOB-SELF,7.0,Kobylisy,0,2025-09-30,7,False
935,KOB-MAPY,KOB-MAPY,7.0,Kobylisy,0,2025-09-30,7,False
1152,KOB-1PAT,KOB-1PAT,7.0,Kobylisy,0,2025-09-30,7,False
739,KOB-VSMS,KOB-VSMS,7.0,Kobylisy,0,2025-09-30,7,False
1204,KOR-SELFDO,KOR-SELFDO,18.0,Korunní,0,2025-09-30,18,False
1205,KOR-SELFDE,KOR-SELFDE,18.0,Korunní,0,2025-09-30,18,False
385,KOR-DEPULT,KOR-DEPULT,18.0,Korunní,0,2025-09-30,18,False
384,KOR-ZASOBA,KOR-ZASOBA,18.0,Korunní,0,2025-09-30,18,False
575,KOS-POK,KOS-POK,33.0,Košíře,0,2025-09-30,33,False
599,KOS-HRAB,KOS-HRAB,33.0,Košíře,0,2025-09-30,33,False
1016,BB5-NAUBE,BB5-NAUBE,99.0,Krabice2,0,2025-09-30,99,False
1015,BB5-HRAB,BB5-HRAB,99.0,Krabice2,0,2025-09-30,99,False
