lokace_id,oznaceni,typ
662,Z - ZEMĚDĚLSTVÍ. LESNICTVÍ. MYSLIVOST.,Naučná - dospělí
242,C - DOMÁCNOST.,Naučná - dospělí
242,D - DĚJINY. DĚJEPIS.,Naučná - dospělí
242,E - ZEMĚPIS. VLASTIVĚDA. ETNOGRAFIE.,Naučná - dospělí
242,G - SPOLEČENSKÉ VĚDY.,Naučná - dospělí
242,K - PŘÍRODNÍ VĚDY.,Naučná - dospělí
242,L - FILOZOFIE. PSYCHOLOGIE. ESTETIKA. ETIKA. LOGIKA. NÁBOŽENSTVÍ.,Naučná - dospělí
242,N - PEDAGOGIKA. ŠKOLSTVÍ. VÝCHOVA. VZDĚLÁVÁNÍ.,Naučná - dospělí
242,O - PRÁVO. PRÁVNÍ VĚDA.,Naučná - dospělí
242,P - LÉKAŘSTVÍ A ZDRAVOTNICTVÍ.,Naučná - dospělí
242,R - JAZYKOVĚDA.,Naučná - dospělí
242,S - UMĚNÍ.,Naučná - dospělí
242,T - TECHNIKA.,Naučná - dospělí
242,V - HUDBA.,Naučná - dospělí
242,W - VOJENSTVÍ.,Naučná - dospělí
242,X - LITERATURA.,Naučná - dospělí
242,Y - TĚLESNÁ VÝCHOVA A SPORT,Naučná - dospělí
279,S - UMĚNÍ.,Naučná - dospělí
274,"B1 – dramatická literatura, divadelní hry, rozhlasové hry, filmové a televizní scénáře",Naučná - dospělí
274,C - DOMÁCNOST.,Naučná - dospělí
274,D - DĚJINY. DĚJEPIS.,Naučná - dospělí
274,E - ZEMĚPIS. VLASTIVĚDA. ETNOGRAFIE.,Naučná - dospělí
274,G - SPOLEČENSKÉ VĚDY.,Naučná - dospělí
274,K - PŘÍRODNÍ VĚDY.,Naučná - dospělí
274,L - FILOZOFIE. PSYCHOLOGIE. ESTETIKA. ETIKA. LOGIKA. NÁBOŽENSTVÍ.,Naučná - dospělí
274,N - PEDAGOGIKA. ŠKOLSTVÍ. VÝCHOVA. VZDĚLÁVÁNÍ.,Naučná - dospělí
274,O - PRÁVO. PRÁVNÍ VĚDA.,Naučná - dospělí
274,P - LÉKAŘSTVÍ A ZDRAVOTNICTVÍ.,Naučná - dospělí
274,R - JAZYKOVĚDA.,Naučná - dospělí
274,S - UMĚNÍ.,Naučná - dospělí
274,T - TECHNIKA.,Naučná - dospělí
274,U - VŠEOBECNÉ ENCYKLOPEDIE.,Naučná - dospělí
274,V - HUDBA.,Naučná - dospělí
274,W - VOJENSTVÍ.,Naučná - dospělí
274,X - LITERATURA.,Naučná - dospělí
274,Y - TĚLESNÁ VÝCHOVA A SPORT,Naučná - dospělí
274,Z - ZEMĚDĚLSTVÍ. LESNICTVÍ. MYSLIVOST.,Naučná - dospělí
366,C - DOMÁCNOST.,Naučná - dospělí
366,D - DĚJINY. DĚJEPIS.,Naučná - dospělí
366,E - ZEMĚPIS. VLASTIVĚDA. ETNOGRAFIE.,Naučná - dospělí
366,G - SPOLEČENSKÉ VĚDY.,Naučná - dospělí
366,L - FILOZOFIE. PSYCHOLOGIE. ESTETIKA. ETIKA. LOGIKA. NÁBOŽENSTVÍ.,Naučná - dospělí
366,N - PEDAGOGIKA. ŠKOLSTVÍ. VÝCHOVA. VZDĚLÁVÁNÍ.,Naučná - dospělí
366,R - JAZYKOVĚDA.,Naučná - dospělí
366,S - UMĚNÍ.,Naučná - dospělí
366,T - TECHNIKA.,Naučná - dospělí
366,V - HUDBA.,Naučná - dospělí
366,W - VOJENSTVÍ.,Naučná - dospělí
366,X - LITERATURA.,Naučná - dospělí
366,Y - TĚLESNÁ VÝCHOVA A SPORT,Naučná - dospělí
366,Z - ZEMĚDĚLSTVÍ. LESNICTVÍ. MYSLIVOST.,Naučná - dospělí
325,C - DOMÁCNOST.,Naučná - dospělí
325,D - DĚJINY. DĚJEPIS.,Naučná - dospělí
325,E - ZEMĚPIS. VLASTIVĚDA. ETNOGRAFIE.,Naučná - dospělí
325,G - SPOLEČENSKÉ VĚDY.,Naučná - dospělí
325,K - PŘÍRODNÍ VĚDY.,Naučná - dospělí
325,L - FILOZOFIE. PSYCHOLOGIE. ESTETIKA. ETIKA. LOGIKA. NÁBOŽENSTVÍ.,Naučná - dospělí
325,N - PEDAGOGIKA. ŠKOLSTVÍ. VÝCHOVA. VZDĚLÁVÁNÍ.,Naučná - dospělí
325,P - LÉKAŘSTVÍ A ZDRAVOTNICTVÍ.,Naučná - dospělí
325,S - UMĚNÍ.,Naučná - dospělí
