lokace_id,lokace_short,pobocka_nazev,pobocka_cislo,oblast,je_realokace,OCH,kapacita_fyzicka,kapacita_realokace,kapacita_effective,stav_fondu_och
715,DEJ-LITDE,Dejvice,38,Středozápad,True,Beletrie - děti,4686.0,,,0.0
715,DEJ-LITDE,Dejvice,38,Středozápad,True,Naučná - děti,1379.0,,,6.5
242,NOV-NAUDO,Novodvorská,41,Jih,True,Naučná - dospělí,5134.0,,,0.0
1236,PET-BELDO2,Petřiny,42,Středozápad,True,Beletrie - dospělí,4001.0,,,0.0
1229,PET-DOPDE1,Petřiny,42,Středozápad,False,Beletrie - děti,18.0,,18.0,0.0
507,NVE-CHFDE,Pankrác,43,Jih,True,Naučná - dospělí,72.0,,,0.0
223,BOH-SKLAD,Bohnice,52,Severovýchod,True,AK,120.0,,,0.0
1251,BOH-VYSTAV,Bohnice,52,Severovýchod,False,Beletrie - dospělí,365.0,,365.0,0.0
324,PRO-BELDO,Prosek,54,Severovýchod,True,Beletrie - dospělí,5670.0,,,0.0
279,OPA-ARTCHF,Opatov,58,Jih,False,Naučná - dospělí,237.0,,237.0,0.0
280,OPA-ARTMAP,Opatov,58,Jih,False,Naučná - dospělí,0.0,,0.0,0.0
961,OPA-AUDIO,Opatov,58,Jih,False,AK,186.0,,186.0,0.0
273,OPA-BELDO,Opatov,58,Jih,True,Beletrie - dospělí,17485.0,,,0.0
529,KRC-PRSK,Krč,60,Jih,False,Příruční sklad,1393.0,,1393.0,0.0
1046,MAL-HRAB,Malešice,61,Jihovýchod,False,Dnes vrácené knihy,746.0,,746.0,0.0
360,ZAH-DETI,Záhřebská,65,Středozápad,True,Beletrie - děti,2162.0,,,0.5
360,ZAH-DETI,Záhřebská,65,Středozápad,True,Naučná - děti,1589.0,,,5.5
359,ZAH-SCIFI,Záhřebská,65,Středozápad,True,Beletrie - dospělí,484.0,,,13.0
538,CHM-NAUDO,Vozovna,66,Středozápad,True,JK,40.0,,,0.0
