lokace_id,lokace_short,pobocka_nazev,pobocka_cislo,oblast,je_realokace,stav_fondu_celkem,kapacita_celkem,kapacita_fyzicka_sum,kapacita_realokace_sum,volna_kapacita,naplnenost_pct,rozdil,pretizena,rizikova
447,VYS-POEDIV,Vysočany,10,Severovýchod,True,218,225.0,278.0,225.0,7.0,96.88888888888889,-7.0,False,True
1085,HOS-KOMDE,Hostivař,21,Jihovýchod,True,121,120.0,115.0,120.0,-1.0,100.83333333333333,1.0,True,True
847,VIK-KOMDO,Vikova,25,Jih,True,241,125.0,125.0,125.0,-116.0,192.79999999999998,116.0,True,True
145,BRE-BELDO,Břevnov,35,Středozápad,True,6714,5325.0,7380.0,5325.0,-1389.0,126.0845070422535,1389.0,True,True
1093,ZME-KOMDO,Zahradní Město,47,Jihovýchod,True,246,250.0,250.0,250.0,4.0,98.4,-4.0,False,True
653,OSV-BELDO,Ostrovského,48,Jihozápad,True,2110,1510.0,2155.0,1510.0,-600.0,139.73509933774835,600.0,True,True
1139,BOH-KOMDO,Bohnice,52,Severovýchod,True,790,900.0,900.0,900.0,110.0,87.77777777777777,-110.0,False,False
1037,MAL-BELDO,Malešice,61,Jihovýchod,True,3372,2035.0,3175.0,2035.0,-1337.0,165.70024570024572,1337.0,True,True
1071,BAR-KOMDO,Barrandov,62,Jihozápad,True,144,100.0,100.0,100.0,-44.0,144.0,44.0,True,True
1150,SKA-KOMIKS,Skalka,70,Jihovýchod,True,198,200.0,200.0,200.0,2.0,99.0,-2.0,False,True
559,VIK-HRAB,Vikova,25,Jih,False,118,208.0,208.0,,90.0,56.730769230769226,-90.0,False,False
898,ZAH-CASDE,Záhřebská,65,Středozápad,False,39,5.0,5.0,,-34.0,780.0,34.0,True,True
946,KOR-CASDE,Korunní,18,Jihovýchod,False,41,27.0,27.0,,-14.0,151.85185185185185,14.0,True,True
436,SPO-CASDO,Spořilov,45,Jih,False,249,150.0,150.0,,-99.0,166.0,99.0,True,True
55,mezipatro,Ústřední knihovna,1,Ústřední knihovna,False,35084,65621.0,65621.0,,30537.0,53.46459212752015,-30537.0,False,False
991,KOR-JK,Korunní,18,Jihovýchod,False,86,73.0,73.0,,-13.0,117.8082191780822,13.0,True,True
796,BRE-DOPOR,Břevnov,35,Středozápad,False,548,788.0,788.0,,240.0,69.54314720812182,-240.0,False,False
159,BRE-VYLOHY,Břevnov,35,Středozápad,False,0,20.0,20.0,,20.0,0.0,-20.0,False,False
750,DEJ-DOPOR1,Dejvice,38,Středozápad,False,509,318.0,318.0,,-191.0,160.062893081761,191.0,True,True
216,DIT-VITRIN,Dittrichova,51,Středozápad,False,30,26.0,26.0,,-4.0,115.38461538461537,4.0,True,True
952,SKA-CASDE,Skalka,70,Jihovýchod,False,134,30.0,30.0,,-104.0,446.6666666666667,104.0,True,True
808,SMI-DOPORD,Smíchov,29,Jihozápad,False,174,365.0,365.0,,191.0,47.671232876712324,-191.0,False,False
805,OST-DOPOR,Ostrčilovo nám.,4,Středozápad,False,82,81.0,81.0,,-1.0,101.23456790123457,1.0,True,True
1285,NOV-VYSTAV,Novodvorská,41,Jih,False,9,98.0,98.0,,89.0,9.183673469387756,-89.0,False,False
1223,STO-DOPORD,Stodůlky,84,Jihozápad,False,161,353.0,353.0,,192.0,45.609065155807365,-192.0,False,False
1087,CASDE,Ústřední knihovna,1,Ústřední knihovna,False,176,187.0,187.0,,11.0,94.11764705882352,-11.0,False,True
1239,PET-DOPOR2,Petřiny,42,Středozápad,False,221,173.0,173.0,,-48.0,127.7456647398844,48.0,True,True
745,VIK-VSMS,Vikova,25,Jih,False,103,70.0,70.0,,-33.0,147.14285714285717,33.0,True,True
24,student,Ústřední knihovna,1,Ústřední knihovna,False,86,116.0,116.0,,30.0,74.13793103448276,-30.0,False,False
277,OPA-VITRIN,Opatov,58,Jih,False,151,14.0,14.0,,-137.0,1078.5714285714287,137.0,True,True
