pobocka_cislo,lokace_short_norm,OCH,kapacita_realokace,lokace_id
4,OST-NAUDO,G,200.0,366
4,OST-NAUDO,K,120.0,366
4,OST-NAUDO,L,170.0,366
4,OST-NAUDO,N,70.0,366
4,OST-NAUDO,O,40.0,366
4,OST-NAUDO,P,70.0,366
4,OST-NAUDO,R,90.0,366
4,OST-NAUDO,S,170.0,366
4,OST-NAUDO,T,40.0,366
4,OST-NAUDO,V,30.0,366
4,OST-NAUDO,W,50.0,366
4,OST-NAUDO,X,70.0,366
4,OST-NAUDO,Y,35.0,366
4,OST-NAUDO,Z,80.0,366
5,HOL-BELDO,A1,3725.0,412
5,HOL-BELDO,B1,35.0,412
5,HOL-BELDO,B2,120.0,412
5,HOL-BELDO,J1,5.0,412
5,HOL-BELDO,J2,10.0,412
5,HOL-BELDO,J3,25.0,412
5,HOL-BELDO,J4,80.0,412
5,HOL-BELDO,J5,15.0,412
5,HOL-BELDO,,10.0,412
5,HOL-DETI,A1,280.0,415
5,HOL-DETI,A2,1100.0,415
5,HOL-DETI,A3,1100.0,415
5,HOL-DETI,A4,800.0,415
5,HOL-DETI,C,40.0,415
5,HOL-DETI,D,80.0,415
5,HOL-DETI,E,50.0,415
5,HOL-DETI,K,210.0,415
5,HOL-DETI,L,80.0,415
5,HOL-DETI,N,55.0,415
5,HOL-DETI,P,15.0,415
5,HOL-DETI,R,50.0,415
5,HOL-DETI,S,45.0,415
5,HOL-DETI,T,40.0,415
5,HOL-DETI,U,20.0,415
5,HOL-DETI,V,55.0,415
5,HOL-DETI,Y,35.0,415
5,HOL-DETI,Z,30.0,415
5,HOL-DETI,,595.0,415
5,HOL-KOMDE,,200.0,1081
5,HOL-KOMDO,,200.0,1082
5,HOL-NAUDO,C,250.0,413
5,HOL-NAUDO,D,600.0,413
5,HOL-NAUDO,E,420.0,413
5,HOL-NAUDO,G,500.0,413
5,HOL-NAUDO,K,200.0,413
5,HOL-NAUDO,L,380.0,413
5,HOL-NAUDO,N,230.0,413
5,HOL-NAUDO,O,75.0,413
5,HOL-NAUDO,P,220.0,413
5,HOL-NAUDO,R,110.0,413
5,HOL-NAUDO,S,525.0,413
5,HOL-NAUDO,T,80.0,413
5,HOL-NAUDO,U,5.0,413
5,HOL-NAUDO,V,95.0,413
5,HOL-NAUDO,W,160.0,413
5,HOL-NAUDO,X,130.0,413
5,HOL-NAUDO,Y,145.0,413
5,HOL-NAUDO,Z,250.0,413
7,KOB-DO,A1,2200.0,603
7,KOB-DO,B1,25.0,603
7,KOB-DO,B2,45.0,603
7,KOB-DO,C,140.0,603
7,KOB-DO,D,270.0,603
7,KOB-DO,E,260.0,603
7,KOB-DO,G,210.0,603
7,KOB-DO,J1,10.0,603
7,KOB-DO,J2,10.0,603
7,KOB-DO,J3,25.0,603
7,KOB-DO,J4,95.0,603
7,KOB-DO,J5,15.0,603
7,KOB-DO,K,125.0,603
7,KOB-DO,L,240.0,603
7,KOB-DO,N,100.0,603
7,KOB-DO,O,35.0,603
7,KOB-DO,P,100.0,603
7,KOB-DO,R,60.0,603
7,KOB-DO,S,160.0,603
7,KOB-DO,T,65.0,603
7,KOB-DO,V,50.0,603
7,KOB-DO,W,65.0,603
7,KOB-DO,X,80.0,603
7,KOB-DO,Y,65.0,603
7,KOB-DO,Z,100.0,603
7,KOB-DO,,90.0,603
7,KOB-LITDE,A1,25.0,600
7,KOB-LITDE,A2,300.0,600
7,KOB-LITDE,A3,740.0,600
7,KOB-LITDE,A4,450.0,600
7,KOB-LITDE,B2,1.0,600
7,KOB-LITDE,C,60.0,600
7,KOB-LITDE,D,100.0,600
