lokace_id,datum,OCH,stav_fondu
533,2025-09-30,,0.0
532,2025-09-30,,0.0
531,2025-09-30,,0.0
530,2025-09-30,,0.0
338,2025-09-30,,0.0
506,2025-09-30,,0.0
1266,2025-09-30,,0.0
1265,2025-09-30,,0.0
1264,2025-09-30,,0.0
634,2025-09-30,,0.0
630,2025-09-30,,0.0
635,2025-09-30,,0.0
633,2025-09-30,,0.0
767,2025-09-30,,0.0
631,2025-09-30,,0.0
730,2025-09-30,,0.0
632,2025-09-30,,0.0
197,2025-09-30,,0.0
196,2025-09-30,,0.0
199,2025-09-30,,0.0
198,2025-09-30,,0.0
202,2025-09-30,,0.0
204,2025-09-30,,0.0
799,2025-09-30,,0.0
206,2025-09-30,,0.0
201,2025-09-30,,0.0
200,2025-09-30,,0.0
203,2025-09-30,,0.0
626,2025-09-30,,0.0
557,2025-09-30,,0.0
556,2025-09-30,,0.0
783,2025-09-30,,0.0
641,2025-09-30,,0.0
625,2025-09-30,,0.0
627,2025-09-30,,0.0
729,2025-09-30,,0.0
628,2025-09-30,,0.0
423,2025-09-30,,0.0
429,2025-09-30,,0.0
428,2025-09-30,,0.0
427,2025-09-30,,0.0
1166,2025-09-30,,0.0
431,2025-09-30,,0.0
426,2025-09-30,,0.0
424,2025-09-30,,0.0
746,2025-09-30,,0.0
791,2025-09-30,,0.0
430,2025-09-30,,0.0
1208,2025-09-30,,0.0
1192,2025-09-30,,0.0
623,2025-09-30,,0.0
622,2025-09-30,,0.0
677,2025-09-30,,0.0
1185,2025-09-30,,0.0
159,2025-09-30,,0.0
1174,2025-09-30,,0.0
1201,2025-09-30,,0.0
261,2025-09-30,,0.0
262,2025-09-30,,0.0
639,2025-09-30,,0.0
1172,2025-09-30,,0.0
1125,2025-09-30,,0.0
1126,2025-09-30,,0.0
1176,2025-09-30,,0.0
236,2025-09-30,,0.0
1184,2025-09-30,,0.0
1175,2025-09-30,,0.0
1188,2025-09-30,,0.0
939,2025-09-30,,0.0
1167,2025-09-30,,0.0
578,2025-09-30,,0.0
1157,2025-09-30,,0.0
722,2025-09-30,,0.0
860,2025-09-30,,0.0
861,2025-09-30,,0.0
1273,2025-09-30,,0.0
1198,2025-09-30,,0.0
1270,2025-09-30,,0.0
1160,2025-09-30,,0.0
935,2025-09-30,,0.0
1152,2025-09-30,,0.0
739,2025-09-30,,0.0
1204,2025-09-30,,0.0
1205,2025-09-30,,0.0
385,2025-09-30,,0.0
384,2025-09-30,,0.0
575,2025-09-30,,0.0
599,2025-09-30,,0.0
1016,2025-09-30,,0.0
1015,2025-09-30,,0.0
1014,2025-09-30,,0.0
1177,2025-09-30,,0.0
191,2025-09-30,,0.0
162,2025-09-30,,0.0
1196,2025-09-30,,0.0
165,2025-09-30,,0.0
163,2025-09-30,,0.0
519,2025-09-30,,0.0
1200,2025-09-30,,0.0
1210,2025-09-30,,0.0
877,2025-09-30,,0.0
1191,2025-09-30,,0.0
1170,2025-09-30,,0.0
665,2025-09-30,,0.0
1178,2025-09-30,,0.0
